,sum,Start,X(ft),Y(ft),Scores
WP15,89215.30957408802,2012-03-01,109560.26,86833.62,1.2657683255570278e-05
WP17,23612.440192996182,2012-07-01,112766.46,88549.74,0.001094315142581673
WP20,3339.782866963028,2020-03-01,133687.47,83554.44,0.06363495024526261
WP25,20873.420692370324,2015-03-01,128136.21,89359.95,0.0011931051989948706
WP31,8369.262930224962,2016-01-01,136285.14,86479.95,0.0030708468200810377
WP32,5385.256943113186,2021-11-01,128675.17,89882.13,0.04160326072265869
WP35,3124.8968530232332,2021-03-01,122230.81,87539.37,0.02424213308009527
WP39,3260.3665781153845,2016-07-01,111890.88,91708.68,0.01605884237845736
WP40,3185.902346310412,2021-11-01,126601.3,90679.21,0.017560506020057716
WP46,29758.420675315192,2020-03-01,139046.81,84476.47,0.03163808822904305
WP7,3282.448587817883,2021-01-01,112439.69,85560.85,0.021945959633178646
WP0,220.62356781000003,2011-12-01,137106.82,83818.47,0.0
WP1,967.22010388,2016-10-01,132460.98,85832.77,0.0063622245237387656
WP10,1165.74319755,2019-03-01,134042.86,82411.27,0.051431475569746234
WP12,17.758218033999995,2013-11-01,133136.98,93691.55,0.0002560665065160437
WP13,586.7026962700002,2015-05-01,119311.27,89234.02,0.01122564974137855
WP14,10456.8876721,2014-06-01,134837.26,83865.82,0.0006642053980884718
WP16,37745.757428000004,2017-11-01,112898.58,91601.46,0.03554134838385571
WP18,7935.1729619,2011-12-01,117798.78,90645.7,0.0
WP19,178.579386226,2014-07-01,110189.22,86209.71,0.061614809607341885
WP2,134.496097724,2015-01-01,133634.0,82144.52,0.0018829741631642904
WP21,39.829815138,2018-11-01,121120.49,87804.64,0.015347728377957203
WP22,328.99046734999996,2019-02-01,115987.29,91854.91,0.09132029348277411
WP23,159.580913605,2013-08-01,139326.01,84776.42,0.000154996076713217
WP24,2604.45007444,2017-07-01,142095.82,86042.02,0.0053067685414469185
WP26,12886.843013100002,2018-08-01,118170.11,89488.69,0.0638926277467735
WP27,228.263248963,2017-03-01,129829.39,87756.99,0.006479626377119508
WP28,3505.9627518,2014-12-01,120522.78,89987.0,0.0055283225087869835
WP29,22318.279394900004,2017-12-01,138541.42,82281.79,0.01986964413104948
WP3,44507.628195000005,2013-11-01,140892.57,81747.12,0.0001392093583390066
WP30,28.281087117,2017-11-01,131123.52,84356.27,0.00844397506494275
WP33,5.737569171999999,2012-08-01,123960.21,85279.28,0.00013073514095060147
WP34,37084.261716,2016-05-01,134053.71,84658.45,0.011757498995164707
WP36,10455.4261656,2019-03-01,111749.78,91050.01,0.03983624199708759
WP37,12317.9224072,2014-12-01,134902.25,82632.62,0.0027838506139793375
WP38,30098.4080093,2017-09-01,116803.31,91177.75,0.07765065540039305
WP4,7103.2455667,2019-04-01,109951.43,89343.45,0.020231590137445084
WP41,26849.186859300004,2013-08-01,114333.01,91616.66,0.007281026860889028
WP42,33045.491963,2017-07-01,136532.27,83571.51,0.018505352656242556
WP43,77690.934308,2013-02-01,115684.27,89895.78,0.0026180783487157583
WP44,14361.0133302,2017-07-01,118629.9,88703.87,0.02411465713937908
WP45,3.588711727,2017-10-01,129176.3,93171.14,0.003933603409893381
WP47,31206.119465,2019-07-01,137407.15,84099.13,0.053697783673031026
WP48,14963.5876819,2016-10-01,124094.8,90648.76,0.004747138045473274
WP49,10847.313381099999,2017-07-01,123188.65,88556.29,0.00701122493769133
WP5,455.24587089,2015-08-01,123950.95,92227.31,0.002704218358088641
WP6,27432.941819800002,2019-07-01,111035.32,88692.32,0.03049045468876395
WP8,329.32118614,2013-02-01,127369.74,91739.99,0.00019660960794401386
WP9,171.410553653,2012-04-01,115943.69,86730.44,0.00015847183342962504
Total,118219.919552135,,,,
WP11,,2012-01-01,115725.49,86866.6,2.0080742419440874e-05
